isco08_2d,exposure_score,description_2d,dv_rating_beta,el_diff,is_wc
11,0.3339999999999999,"Chief executives, senior officials and legislators",0.4635905542970553,0.1295905542970554,True
12,0.3871428571428571,Administrative and commercial managers,0.4877788079589305,0.1006359508160734,True
13,0.3542857142857142,Production and specialised services managers,0.4415154007656254,0.0872296864799112,True
14,0.3725,"Hospitality, retail and other services managers",0.4666192705187937,0.0941192705187937,True
21,0.3854166666666667,Science and engineering professionals,0.5162227029534644,0.1308060362867977,True
22,0.262,Health professionals,0.3565186299579963,0.0945186299579963,True
23,0.3333333333333333,Teaching professionals,0.3878987362535151,0.0545654029201818,True
24,0.4936363636363636,Business and administration professionals,0.5439809258980073,0.0503445622616436,True
25,0.5433333333333333,Information and communications technology professionals,0.7835383762907306,0.2402050429573973,True
26,0.3828571428571429,"Legal, social and cultural professionals",0.4789060244159297,0.0960488815587868,True
31,0.2924,Science and engineering associate professionals,0.3615863524417779,0.0691863524417779,True
32,0.2458823529411764,Health associate professionals,0.3040556661294354,0.058173313188259,True
33,0.4645833333333333,Business and administration associate professionals,0.5629334140400132,0.0983500807066798,True
34,0.307,"Legal, social, cultural and related associate professionals",0.3222797686793383,0.0152797686793382,True
35,0.4433333333333333,Information and communications technicians,0.5943760960002866,0.1510427626669533,True
41,0.6325,General and keyboard clerks,0.7188382000882001,0.0863382000882001,True
42,0.52,Customer services clerks,0.574846990022229,0.054846990022229,True
43,0.5333333333333333,Numerical and material recording clerks,0.650282692795066,0.1169493594617326,True
44,0.5085714285714286,Other clerical support workers,0.5865162284647483,0.0779447998933197,True
51,0.2229411764705882,Personal service workers,0.2290941972081917,0.0061530207376035,False
52,0.3625,Sales workers,0.3274545220181993,-0.0350454779818006,False
53,0.194,Personal care workers,0.222837056258172,0.028837056258172,False
54,0.172,Protective services workers,0.2972282859912807,0.1252282859912807,False
61,0.1855555555555555,Market-oriented skilled agricultural workers,0.1781577002372894,-0.007397855318266,False
62,0.156,"Market-oriented skilled forestry, fishery and hunting workers",0.1722435163996948,0.0162435163996948,False
63,0.125,"Subsistence farmers, fishers, hunters and gatherers",0.0879738408521303,-0.0370261591478697,False
71,0.125,"Building and related trades workers, excluding electricians",0.0940931877660026,-0.0309068122339973,False
72,0.1615384615384615,"Metal, machinery and related trades workers",0.1102560202231982,-0.0512824413152632,False
73,0.2,Handicraft and printing workers,0.2059831926650956,0.0059831926650956,False
74,0.2,Electrical and electronic trades workers,0.2135644843253831,0.0135644843253831,False
75,0.174,"Food processing, wood working, garment and other craft and related trades workers",0.1453310091415721,-0.0286689908584278,False
81,0.1903999999999999,Stationary plant and machine operators,0.0993298358165769,-0.091070164183423,False
82,0.29,Assemblers,0.1358173384349854,-0.1541826615650145,False
83,0.1899999999999999,Drivers and mobile plant operators,0.2021348463420881,0.0121348463420882,False
91,0.1166666666666666,Cleaners and helpers,0.0332754629629629,-0.0833912037037036,False
92,0.1066666666666666,"Agricultural, forestry and fishery labourers",0.0813862488494123,-0.0252804178172543,False
93,0.1433333333333333,"Labourers in mining, construction, manufacturing and transport",0.1143977583611869,-0.0289355749721463,False
94,0.155,Food preparation assistants,0.0061728395061728,-0.1488271604938271,False
95,0.19,Street and related sales and service workers,0.1512681159420289,-0.038731884057971,False
96,0.2,Refuse workers and other elementary workers,0.196962810407793,-0.0030371895922069,False
