isco2,description,exposure,new_r2,delta_r2
52,Sales workers,0.3625,0.9658104101214784,0.04973845070715577
75,"Food processing, wood working, garment a",0.174,0.9275367127516484,0.011464753337325773
51,Personal service workers,0.2229411764705882,0.9266238420343853,0.01055188262006268
72,"Metal, machinery and related trades work",0.1615384615384615,0.9215685746925566,0.005496615278233974
83,Drivers and mobile plant operators,0.1899999999999999,0.9187431650960346,0.0026712056817119745
82,Assemblers,0.29,0.9177027408113225,0.001630781396999903
94,Food preparation assistants,0.155,0.9164072207415234,0.0003352613272007421
81,Stationary plant and machine operators,0.1903999999999999,0.9160649588957055,-7.0005186171284706e-06
74,Electrical and electronic trades workers,0.2,0.9154156336557137,-0.0006563257586089666
95,Street and related sales and service wor,0.19,0.914937961252331,-0.0011339981619916673
73,Handicraft and printing workers,0.2,0.9136105435325519,-0.0024614158817707343
53,Personal care workers,0.194,0.909145764365979,-0.006926195048343575
71,"Building and related trades workers, exc",0.125,0.9070485673679722,-0.009023392046350387
93,"Labourers in mining, construction, manuf",0.1433333333333333,0.9069045773477572,-0.009167382066565422
54,Protective services workers,0.172,0.9018734292171945,-0.014198530197128134
62,"Market-oriented skilled forestry, fisher",0.156,0.8982276640940913,-0.01784429532023135
91,Cleaners and helpers,0.1166666666666666,0.8899681908935998,-0.026103768520722825
96,Refuse workers and other elementary work,0.2,0.8883136271015112,-0.02775833231281144
92,"Agricultural, forestry and fishery labou",0.1066666666666666,0.8208802099926295,-0.09519174942169317
61,Market-oriented skilled agricultural wor,0.1855555555555555,0.6957234469049556,-0.22034851250936704
63,"Subsistence farmers, fishers, hunters an",0.125,0.23069688899131083,-0.6853750704230118
